level,pos,jp_word,reading,meaning
N1,na_adj,個別だ,こべつだ,개별적이다
N1,na_adj,細密だ,さいみつだ,세밀하다
N1,na_adj,残酷だ,ざんこくだ,잔혹하다
N1,na_adj,自発的だ,じはつてきだ,자발적이다
N1,na_adj,柔軟だ,じゅうなんだ,유연하다
N1,na_adj,重大だ,じゅうだいだ,중대하다
N1,na_adj,重宝だ,ちょうほうだ,유용하다
N1,na_adj,真摯だ,しんしだ,"진지하다, 성실하다"
N1,na_adj,神妙だ,しんみょうだ,"고분고분하다, 신통하다"
N1,na_adj,清潔だ,せいけつだ,청결하다
N1,na_adj,繊細だ,せんさいだ,섬세하다
N1,na_adj,壮大だ,そうだいだ,웅대하다
N1,na_adj,妥当だ,だとうだ,타당하다
N1,na_adj,多大だ,ただいだ,막대하다
N1,na_adj,多様だ,たようだ,다양하다
N1,na_adj,端的だ,たんてきだ,단도직입적이다
N1,na_adj,致命的だ,ちめいてきだ,치명적이다
N1,na_adj,緻密だ,ちみつだ,치밀하다
N1,na_adj,丁重だ,ていちょうだ,정중하다
N1,na_adj,独占的だ,どくせんてきだ,독점적이다
N1,na_adj,内向的だ,ないこうてきだ,내향적이다
N1,na_adj,能動的だ,のうどうてきだ,능동적이다
N1,na_adj,微妙だ,びみょうだ,미묘하다
N1,na_adj,悲惨だ,ひさんだ,비참하다
N1,na_adj,必然だ,ひつぜんだ,필연적이다
N1,na_adj,敏感だ,びんかんだ,민감하다
N1,na_adj,不可欠だ,ふかけつだ,불가결하다
N1,na_adj,不規則だ,ふきそくだ,불규칙하다
N1,na_adj,不潔だ,ふけつだ,불결하다
N1,na_adj,不景気だ,ふけいきだ,불경기다
N1,na_adj,不幸だ,ふこうだ,불행하다
N1,na_adj,不利だ,ふりだ,불리하다
N1,na_adj,平凡だ,へいぼんだ,평범하다
N1,na_adj,密接だ,みっせつだ,밀접하다
N1,na_adj,無意味だ,むいみだ,무의미하다
N1,na_adj,無邪気だ,むじゃきだ,천진난만하다
N1,na_adj,明快だ,めいかいだ,명쾌하다
N1,na_adj,明敏だ,めいびんだ,명민하다
N1,na_adj,猛烈だ,もうれつだ,맹렬하다
N1,na_adj,有意義だ,ゆういぎだ,"의의, 의미가 있다"
N1,na_adj,有力だ,ゆうりょくだ,유력하다
N1,na_adj,雄大だ,ゆうだいだ,웅대하다
N1,na_adj,有益だ,ゆうえきだ,유익하다
N1,na_adj,露骨だ,ろこつだ,노골적이다
N1,na_adj,冷淡だ,れいたんだ,냉담하다
N1,na_adj,冷酷だ,れいこくだ,냉혹하다
N1,na_adj,論理的だ,ろんりてきだ,논리적이다
N1,na_adj,客観的だ,きゃっかんてきだ,객관적이다
N1,na_adj,主観的だ,しゅかんてきだ,주관적이다
